,id,observed_on,user.id,user.login,created_at,updated_at,quality_grade,license_code,uri,photo.url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,positional_accuracy,public_positional_accuracy,taxon.geoprivacy,obscured,species_guess,taxon.preferred_common,iconic_taxon.name,taxon.id,taxon.rank,taxon.name,location,photo.id
0,30790051,2019-08-13 19:02:39-05:00,2115051,jkcook,2019-08-14 02:15:13+00:00,2019-09-23 02:19:12+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30790051,https://inaturalist-open-data.s3.amazonaws.com/photos/48124507/medium.jpeg?1565748927,,2,0,False,"Urbandale, IA 50322, USA",77.0,77.0,,False,Calopteryx maculata,Ebony Jewelwing,Insecta,84481,,,"[41.621928, -93.732823]",48124507
1,30790871,2019-08-13 19:50:14-05:00,2115051,jkcook,2019-08-14 02:31:48+00:00,2019-11-20 19:57:52+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30790871,https://inaturalist-open-data.s3.amazonaws.com/photos/48125766/medium.jpeg?1565749921,,2,0,False,"Urbandale, IA 50322, USA",24.0,24.0,open,False,Widow Skimmer,Widow Skimmer,Insecta,47934,,,"[41.6206524, -93.7309853]",48125766
2,30845487,2019-08-14 18:57:25-05:00,2115051,jkcook,2019-08-15 00:34:46+00:00,2019-10-01 14:49:46+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30845487,https://inaturalist-open-data.s3.amazonaws.com/photos/48216876/medium.jpeg?1565829292,"Not a good picture, but keeping as a placeholder until I can take a better one.",1,0,False,"Urbandale, IA 50322, USA",9.0,9.0,,False,Eastern Amberwing,Eastern Amberwing,Insecta,59776,,,"[41.62581755, -93.74138673]",48216876
3,30845527,2019-08-14 19:01:42-05:00,2115051,jkcook,2019-08-15 00:35:29+00:00,2020-07-05 18:23:09+00:00,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/30845527,https://inaturalist-open-data.s3.amazonaws.com/photos/48216911/medium.jpeg?1565829334,,1,0,False,"Urbandale, IA 50322, USA",25.0,25.0,,False,Narrow-winged Damselflies,Narrow-winged Damselflies,Insecta,47925,,,"[41.62610976, -93.74166766]",48216911
4,30846459,2019-08-14 19:53:54-05:00,2115051,jkcook,2019-08-15 00:56:41+00:00,2019-08-15 14:07:08+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30846459,https://inaturalist-open-data.s3.amazonaws.com/photos/48218767/medium.jpeg?1565830603,,2,0,False,"Urbandale, IA 50322, USA",12.0,12.0,,False,Ebony Jewelwing,Ebony Jewelwing,Insecta,84481,,,"[41.62276555, -93.73515878]",48218767
5,30906187,2019-08-15 15:35:00-05:00,2115051,jkcook,2019-08-16 00:25:32+00:00,2019-08-16 14:06:19+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30906187,https://inaturalist-open-data.s3.amazonaws.com/photos/48315365/medium.jpeg?1565914302,Male Ebony Jewelwing. Finally got a decent closeup of one of these guys!,2,0,False,"Walnut Creek, Urbandale, IA, USA",11.0,11.0,,False,Ebony Jewelwing,Ebony Jewelwing,Insecta,84481,,,"[41.6210500585, -93.7320543431]",48315365
6,30906190,2019-08-15 15:42:00-05:00,2115051,jkcook,2019-08-16 00:25:34+00:00,2019-08-31 16:17:26+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30906190,https://inaturalist-open-data.s3.amazonaws.com/photos/48315932/medium.jpeg?1565914660,,3,0,False,"Walnut Creek, Urbandale, IA, USA",4.0,4.0,,False,Ebony Jewelwing,Ebony Jewelwing,Insecta,84481,,,"[41.6209546846, -93.7320287025]",48315932
7,30906191,2019-08-15 15:45:00-05:00,2115051,jkcook,2019-08-16 00:25:35+00:00,2019-08-16 13:20:31+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30906191,https://inaturalist-open-data.s3.amazonaws.com/photos/48316088/medium.jpeg?1565914752,,3,0,False,"Urbandale, IA, USA",9.0,9.0,open,False,Blue-fronted Dancer,Blue-fronted Dancer,Insecta,47975,,,"[41.6201751292, -93.7312263344]",48316088
8,30906959,2019-08-15 16:41:00-05:00,2115051,jkcook,2019-08-16 00:44:03+00:00,2019-08-16 13:19:45+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30906959,https://inaturalist-open-data.s3.amazonaws.com/photos/48317409/medium.jpeg?1565915754,Another male Ebony Jewelwing hanging out in Walnut Creek,2,0,False,"Walnut Creek, Urbandale, IA, USA",7.0,7.0,,False,Ebony Jewelwing,Ebony Jewelwing,Insecta,84481,,,"[41.6198402359, -93.7309825075]",48317409
9,30906961,2019-08-15 16:42:00-05:00,2115051,jkcook,2019-08-16 00:44:03+00:00,2019-09-28 11:04:02+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30906961,https://inaturalist-open-data.s3.amazonaws.com/photos/48317721/medium.jpeg?1565915954,A female Ebony Jewelwing that appeared to be laying eggs on a plant right after mating. It let me get pretty close up while it was occupied.,3,0,False,"Walnut Creek, Urbandale, IA, USA",3.0,3.0,,False,Ebony Jewelwing,Ebony Jewelwing,Insecta,84481,,,"[41.6198204956, -93.7309893061]",48317721
10,30907791,2019-08-15 18:11:00-05:00,2115051,jkcook,2019-08-16 01:00:41+00:00,2019-11-20 19:57:22+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30907791,https://inaturalist-open-data.s3.amazonaws.com/photos/48319192/medium.jpeg?1565917050,,3,0,False,"Walnut Creek, Urbandale, IA, USA",12.0,12.0,open,False,Eastern Pondhawk,Eastern Pondhawk,Insecta,61495,,,"[41.6224091497, -93.7336539904]",48319192
11,30907793,2019-08-15 18:13:00-05:00,2115051,jkcook,2019-08-16 01:00:42+00:00,2019-11-20 19:57:19+00:00,research,CC-BY-NC,https://www.inaturalist.org/observations/30907793,https://inaturalist-open-data.s3.amazonaws.com/photos/48319353/medium.jpeg?1565917158,,2,0,False,"Walnut Creek, Urbandale, IA, USA",12.0,12.0,open,False,Widow Skimmer,Widow Skimmer,Insecta,47934,,,"[41.6224973719, -93.7338873427]",48319353
